"Measurement outcome","Frequency"
"0x1","2"
"0x10","1"
"0x1000000","1"
"0x10000012","1"
"0x10000031","1"
"0x10000043","1"
"0x10000050","1"
"0x10000100","1"
"0x10000102","1"
"0x10000103","1"
"0x10000120","1"
"0x10000123","1"
"0x10000150","1"
"0x10000160","1"
"0x10000162","1"
"0x1000042","1"
"0x1000043","1"
"0x10000441","1"
"0x10000442","1"
"0x10000443","1"
"0x10000501","1"
"0x1000051","1"
"0x10000512","1"
"0x10000523","1"
"0x10000543","1"
"0x10000572","1"
"0x10000842","1"
"0x10000c33","1"
"0x10001","1"
"0x1000100","1"
"0x10001030","1"
"0x10001102","1"
"0x10001170","1"
"0x10001500","1"
"0x10001840","1"
"0x10002002","1"
"0x10002012","1"
"0x10002113","1"
"0x10002151","1"
"0x10002171","1"
"0x10002400","1"
"0x10002803","1"
"0x10002871","1"
"0x10002903","1"
"0x10002913","1"
"0x10003","1"
"0x10003000","1"
"0x10003522","1"
"0x10003903","1"
"0x1000400","2"
"0x10004041","1"
"0x10004063","1"
"0x10004102","2"
"0x10004120","1"
"0x10004153","1"
"0x10004171","1"
"0x1000442","1"
"0x10004510","1"
"0x10004553","1"
"0x1000463","1"
"0x10004813","1"
"0x10004851","2"
"0x10004963","1"
"0x10004d51","1"
"0x1000500","1"
"0x10005002","1"
"0x10005102","1"
"0x10005120","1"
"0x10005473","1"
"0x10005800","1"
"0x10006023","1"
"0x10006161","1"
"0x10006500","1"
"0x10006802","1"
"0x10006901","1"
"0x10007162","1"
"0x1000901","1"
"0x10009042","1"
"0x1000940","1"
"0x1000a902","1"
"0x1000c522","1"
"0x10010022","1"
"0x10010061","1"
"0x10010072","1"
"0x10010103","1"
"0x10010112","2"
"0x10010123","1"
"0x1001023","1"
"0x10010500","1"
"0x10010572","1"
"0x10010810","1"
"0x10010900","1"
"0x10010903","1"
"0x10010911","1"
"0x10010943","1"
"0x10010950","1"
"0x10011003","1"
"0x10011043","1"
"0x10011100","1"
"0x10011103","1"
"0x10011113","1"
"0x1001173","1"
"0x10011812","1"
"0x10012100","1"
"0x10012400","1"
"0x10012403","1"
"0x10012442","1"
"0x10012500","1"
"0x10012833","1"
"0x10012911","1"
"0x10012920","1"
"0x10012c00","1"
"0x10013","1"
"0x10013102","1"
"0x10013952","1"
"0x10014003","1"
"0x10014150","1"
"0x10014152","1"
"0x10014430","1"
"0x10014442","1"
"0x10014560","1"
"0x1001461","1"
"0x10014850","1"
"0x10014912","1"
"0x10014c00","1"
"0x10015030","1"
"0x10015041","1"
"0x10015912","1"
"0x10015c02","1"
"0x10016101","1"
"0x10016141","1"
"0x10016843","1"
"0x10017043","1"
"0x10017143","1"
"0x1001920","1"
"0x1001963","1"
"0x1001d910","1"
"0x1001f113","1"
"0x10020001","1"
"0x1002001","1"
"0x10020012","1"
"0x1002002","1"
"0x10020040","1"
"0x10020041","1"
"0x10020061","1"
"0x10020100","1"
"0x10020102","1"
"0x1002011","1"
"0x10020110","1"
"0x10020112","1"
"0x10020140","2"
"0x1002041","1"
"0x10020410","1"
"0x10020422","1"
"0x1002043","1"
"0x10020452","1"
"0x10020501","1"
"0x10020503","1"
"0x10020542","1"
"0x10020822","1"
"0x10020931","1"
"0x10020c22","1"
"0x10020c42","1"
"0x10021100","1"
"0x10021550","1"
"0x10021913","1"
"0x10021943","1"
"0x10022032","1"
"0x10022051","1"
"0x10022410","1"
"0x10022940","1"
"0x10022d01","1"
"0x10023143","1"
"0x10023503","1"
"0x10023970","1"
"0x10024142","1"
"0x10024403","1"
"0x10024500","1"
"0x10024503","1"
"0x1002460","1"
"0x10024942","1"
"0x10024d10","1"
"0x10025103","1"
"0x10025110","1"
"0x10025130","1"
"0x10025c00","1"
"0x10025d12","1"
"0x10026050","1"
"0x10026932","1"
"0x10026942","1"
"0x10026971","1"
"0x10027103","1"
"0x10028123","1"
"0x10030002","1"
"0x10030013","1"
"0x1003003","1"
"0x10030100","1"
"0x10030172","1"
"0x10030423","1"
"0x10030512","1"
"0x10030520","1"
"0x10030902","1"
"0x10030922","1"
"0x10030942","1"
"0x10031073","1"
"0x10031140","1"
"0x10031141","1"
"0x10031412","1"
"0x10032003","1"
"0x10032013","1"
"0x10032021","1"
"0x10032030","1"
"0x10032140","1"
"0x10032143","1"
"0x10032462","1"
"0x10032910","1"
"0x10033002","1"
"0x10033102","1"
"0x10033471","1"
"0x10033502","1"
"0x10034002","2"
"0x10034012","1"
"0x10034103","1"
"0x10034113","2"
"0x10034121","1"
"0x10034143","1"
"0x10034523","1"
"0x10034820","1"
"0x10034850","1"
"0x10034903","1"
"0x10034962","1"
"0x10034963","1"
"0x10034d13","1"
"0x10035043","1"
"0x10035052","1"
"0x10035920","1"
"0x10036123","1"
"0x10036d03","1"
"0x10036d21","1"
"0x10037440","1"
"0x10038901","1"
"0x1003c403","1"
"0x1003dd63","1"
"0x1004001","1"
"0x1004100","2"
"0x1004141","1"
"0x1004410","1"
"0x1004440","1"
"0x1004903","1"
"0x1005100","1"
"0x1005410","1"
"0x1005460","1"
"0x1005800","1"
"0x1005902","1"
"0x1005920","1"
"0x1005c13","1"
"0x1006140","1"
"0x1006412","1"
"0x1006513","1"
"0x1006562","1"
"0x1006903","1"
"0x1006c01","1"
"0x1007022","1"
"0x1007503","1"
"0x101","1"
"0x10100","1"
"0x1010002","2"
"0x1010011","1"
"0x1010040","1"
"0x1010042","1"
"0x1010100","1"
"0x1010101","1"
"0x1010102","2"
"0x1010140","1"
"0x1010141","1"
"0x1010142","3"
"0x1010163","1"
"0x1010400","1"
"0x1010413","1"
"0x1010902","1"
"0x1010912","1"
"0x1010943","1"
"0x1010950","1"
"0x1011153","2"
"0x1011540","1"
"0x1011542","1"
"0x1011953","1"
"0x1012001","1"
"0x1012041","1"
"0x1012042","1"
"0x1012070","1"
"0x1012103","1"
"0x1012510","1"
"0x1012821","1"
"0x1012912","1"
"0x1012c12","1"
"0x10140","1"
"0x1014000","1"
"0x1014041","1"
"0x1014052","1"
"0x1014121","1"
"0x1014143","1"
"0x1014152","1"
"0x1014403","1"
"0x1014801","1"
"0x1014821","1"
"0x1014840","1"
"0x1014843","1"
"0x1014921","1"
"0x1015022","1"
"0x1015123","1"
"0x1015803","1"
"0x1015953","1"
"0x1016003","1"
"0x1016063","1"
"0x1016402","1"
"0x1016943","1"
"0x1016d12","1"
"0x1017801","1"
"0x101c041","1"
"0x101f101","1"
"0x1020000","1"
"0x1020003","1"
"0x1020043","1"
"0x1020061","1"
"0x1020122","1"
"0x1020123","1"
"0x1020133","1"
"0x1020150","1"
"0x1020400","1"
"0x1020413","1"
"0x1020421","1"
"0x1020502","1"
"0x1020513","1"
"0x1020803","1"
"0x1020903","1"
"0x1020d10","1"
"0x1021013","1"
"0x1021062","1"
"0x1021443","1"
"0x1021523","1"
"0x1021850","1"
"0x1021940","1"
"0x1022022","1"
"0x1022041","1"
"0x1022131","2"
"0x1022172","1"
"0x1022542","1"
"0x1022543","1"
"0x1022552","1"
"0x1022800","1"
"0x1022802","1"
"0x1022841","2"
"0x1022900","1"
"0x1022901","1"
"0x1022d00","1"
"0x1023103","1"
"0x1024002","1"
"0x1024011","1"
"0x1024022","1"
"0x1024030","1"
"0x1024100","2"
"0x1024101","1"
"0x1024111","1"
"0x1024112","1"
"0x1024140","1"
"0x1024411","1"
"0x1024522","1"
"0x1024843","1"
"0x1025c43","1"
"0x1026072","1"
"0x1026112","1"
"0x1026411","1"
"0x1026922","1"
"0x1026c21","1"
"0x1027012","1"
"0x1027903","1"
"0x1030043","1"
"0x1030100","1"
"0x1030101","1"
"0x1030103","1"
"0x1030422","1"
"0x1030502","1"
"0x1030511","1"
"0x1030801","1"
"0x1030951","1"
"0x1030d12","1"
"0x1031402","1"
"0x1031450","1"
"0x1031842","1"
"0x1031901","1"
"0x1032061","1"
"0x1032101","1"
"0x1032143","1"
"0x1032403","1"
"0x1032800","1"
"0x1033100","1"
"0x1033152","1"
"0x1033160","1"
"0x1034010","1"
"0x1034111","1"
"0x1034420","1"
"0x1034543","1"
"0x1035001","1"
"0x1035112","1"
"0x1035123","1"
"0x1035132","1"
"0x1035410","1"
"0x1036000","1"
"0x1036003","1"
"0x1036550","1"
"0x1038843","1"
"0x103c921","1"
"0x10403","1"
"0x10412","1"
"0x10511","1"
"0x10801","1"
"0x10803","1"
"0x10813","1"
"0x10952","1"
"0x10c03","1"
"0x11000000","1"
"0x11000001","1"
"0x11000002","1"
"0x11000012","1"
"0x11000042","1"
"0x11000052","1"
"0x11000100","1"
"0x11000103","1"
"0x11000111","1"
"0x11000113","1"
"0x11000130","1"
"0x11000501","1"
"0x11000521","1"
"0x11000561","1"
"0x11000811","1"
"0x11000841","1"
"0x11000910","1"
"0x11000913","1"
"0x11000c03","1"
"0x11000c10","1"
"0x11000c62","1"
"0x11001000","1"
"0x11001043","1"
"0x11001133","1"
"0x11002022","1"
"0x11002033","1"
"0x11002100","1"
"0x11002112","1"
"0x11002113","1"
"0x11002142","1"
"0x11002152","1"
"0x11002161","1"
"0x11002943","1"
"0x11002953","1"
"0x11002c12","1"
"0x11003920","1"
"0x11003960","1"
"0x11003d43","1"
"0x11004012","1"
"0x11004121","1"
"0x11004123","1"
"0x11004140","1"
"0x11004141","1"
"0x11004501","1"
"0x11004510","1"
"0x11005011","1"
"0x11005833","1"
"0x11006001","1"
"0x11006140","1"
"0x11006920","1"
"0x11008402","1"
"0x11008502","1"
"0x11008800","1"
"0x1100c411","1"
"0x11010000","1"
"0x11010010","1"
"0x11010101","1"
